id_annonce,type_bien,ville,quartier,quartier_groupe,prix_m2,surface_m2,nb_chambres,source
1,Appartement,Agadir,Hay Houda,Hay Houda,12305.08,59.0,2,Mubawab
2,Appartement,Agadir,Hay Houda,Hay Houda,13750.0,96.0,3,Mubawab
3,Appartement,Agadir,Haut Anza,Haut Anza,9824.56,57.0,2,Mubawab
4,Appartement,Agadir,Abattoirs,Abattoirs,15108.0,75.0,2,Mubawab
5,Appartement,Agadir,Hay Houda,Hay Houda,13205.13,78.0,2,Mubawab
6,Appartement,Agadir,Abattoirs,Abattoirs,14880.95,84.0,2,Mubawab
7,Appartement,Agadir,Hay Houda,Hay Houda,13750.0,96.0,3,Mubawab
8,Appartement,Agadir,Hay Houda,Hay Houda,10769.23,65.0,2,Mubawab
9,Appartement,Agadir,Haut Anza,Haut Anza,9843.75,64.0,2,Mubawab
10,Appartement,Agadir,Hay Mohammadi,Hay Mohammadi,12393.16,117.0,4,Mubawab
11,Appartement,Agadir,Abattoirs,Abattoirs,16115.86,87.0,2,Mubawab
15,Appartement,Agadir,Hay Salam,Hay Salam,11718.75,64.0,2,Mubawab
16,Appartement,Agadir,Abattoirs,Abattoirs,14880.95,84.0,2,Mubawab
17,Appartement,Agadir,Haut Anza,Haut Anza,9843.75,64.0,2,Mubawab
18,Appartement,Agadir,Hay Mohammadi,Hay Mohammadi,13157.89,95.0,2,Mubawab
19,Appartement,Agadir,Hay Mohammadi,Hay Mohammadi,14117.65,85.0,2,Mubawab
21,Appartement,Agadir,Hay Massira,Hay Massira,18125.0,80.0,2,Mubawab
23,Appartement,Agadir,Hay Houda,Hay Houda,13200.0,75.0,2,Mubawab
24,Appartement,Agadir,Hay Houda,Hay Houda,13200.0,65.0,2,Mubawab
25,Appartement,Agadir,Hay Mohammadi,Hay Mohammadi,12580.65,62.0,3,Mubawab
26,Appartement,Agadir,Hay Mohammadi,Hay Mohammadi,12394.37,71.0,2,Mubawab
39,Appartement,Agadir,Hay Houda,Hay Houda,10571.43,70.0,3,Mubawab
27,Appartement,Agadir,Abattoirs,Abattoirs,15125.0,78.0,2,Mubawab
31,Appartement,Agadir,Abattoirs,Abattoirs,16058.18,88.0,2,Mubawab
32,Appartement,Agadir,Haut Anza,Haut Anza,14363.64,55.0,2,Mubawab
33,Appartement,Agadir,Haut Anza,Haut Anza,9824.56,57.0,2,Mubawab
34,Appartement,Agadir,Hay Houda,Hay Houda,13714.29,70.0,2,Mubawab
